actor;carrot,factor
after;father
agent;magnet
alert;latter,relate,rental,retail,travel
alien;denial,entail,linear
align;signal
alive;viable
along;gallon,slogan
alter;latter,relate,rental,retail,travel
amaze;amazed
amend;daemon,demand,median
ample;sample
amuse;assume
angel;glance
anger;danger,garden,german,orange,regain
angle;glance
annoy;anyone
apple;appeal
april;pillar
arise;aspire,praise,serial
armed;admire
arrow;narrow
aside;advise
asset;assent,assert
awake;awaken
beach;breach
beast;absent,basket,breast,stable
birth;bright
blame;marble
blast;stable
blend;bundle
blood;bloody
board;abroad
bored;border
bound;abound
brain;binary
brave;verbal
break;banker,embark
bride;bridge,debris
bring;boring
broad;abroad
broke;broken
burst;robust
canon;cannot
caste;aspect,castle,stance
cater;carpet,create
cause;accuse,clause
cease;crease,escape
chase;search
cheap;chapel,preach
cheat;detach
chest;ethics,sketch
choir;heroic
clean;cancel,candle,glance
clear;recall
clock;oclock
close;closed,closer,closet
cloth;clothe
count;county
cover;vector
craft;factor
crash;search
cream;camera,scream
creed;decree,reduce
creep;pierce,recipe
crest;secret,sector
cross;across
crude;curved,reduce
curse;course,cruise,rescue,secure,source
curve;curved
dairy;friday
dance;ascend,candle,dancer
death;detach,hatred,thread
debut;budget
delay;deadly
demon;daemon,modern
diary;friday
donor;indoor
drain;inward
dread;ladder
dream;admire
drive;derive,divert,driver,varied
drown;wonder
early;barely,lawyer,nearly,player,rarely,really
earth;breath,father,gather,hatred,rather,thread,threat
eight;eighth,eighty,height,weight
elect;select
enact;accent,stance
endow;wonder,wooden
enemy;enzyme
ensue;ensure
enter;center,centre,entire,recent,tender,tenure
erect;center,centre,create,recent,reject,secret
error;terror
ethic;ethnic
exert;expert
faint;infant
false;safely
favor;flavor
feast;fasten,safety
field;failed
fight;flight
flame;female
fling;flying
float;foetal
force;confer
forge;forego,forget
forth;fourth
found;unfold
frame;farmer
genre;energy,gender
genus;genius
giant;rating
globe;belong,oblige
grace;charge
grade;danger,garden,regard
grain;margin,racing,rating,regain
grand;danger,garden
grant;rating
great;gather,target
green;energy,gender
greet;regret
grief;figure,finger,fringe
grind;during
guilt;guilty
haven;heaven
heard;adhere,harden,hatred,thread
heart;breath,father,gather,hatred,rather,thread,threat
hence;thence,whence
horse;others,shower
hotel;clothe
ideal;denial,detail,failed
imply;simply
infer;finger,friend,fringe,refine
inner;dinner,winner
inter;entire,insert,orient,retain,winter
issue;tissue
label;ballet,liable
laser;serial
later;latter,relate,rental,retail,travel
latin;entail
layer;barely,lawyer,nearly,player,rarely,really
learn;linear,nearly,rental
lease;asleep,please
least;castle,latest,stable
leave;reveal
legal;allege
lemon;solemn
light;flight,slight
